date,country,disaster_type,severity_index,casualties,economic_loss_usd,response_time_hours,aid_amount_usd,response_efficiency_score,recovery_days,latitude,longitude
2020-02-24,Brazil,Hurricane,3.88,106,5063645.73,12.27,203085.65,94.12,35,-37.175,-17.471
2021-02-14,Canada,Wildfire,6.09,109,5430898.94,13.37,405314.7,90.7,67,-4.485,127.325
2024-03-04,India,Volcanic Eruption,5.04,135,4259824.0,11.14,238976.74,89.34,53,-48.251,51.729
2019-01-18,Greece,Earthquake,3.36,137,1671659.41,8.2,246085.41,95.76,36,51.164,118.557
2023-06-13,China,Landslide,6.26,124,3449769.33,8.05,228098.72,96.82,61,-2.237,123.981
2022-04-02,Japan,Wildfire,3.35,56,4040460.48,11.51,112377.87,89.7,34,-59.741,-37.257
2022-09-29,Philippines,Tornado,3.99,60,4448602.36,4.8,87099.47,91.61,38,23.591,78.372
2019-09-27,Greece,Volcanic Eruption,5.62,195,8032617.05,7.74,278952.64,87.25,56,-37.212,-95.982
2024-01-30,Japan,Storm Surge,4.42,102,2593392.72,13.45,356710.49,86.01,46,-52.685,-63.374
2023-05-07,Japan,Storm Surge,6.38,102,7095175.27,7.59,331478.43,88.55,63,0.342,119.925
2023-09-12,China,Earthquake,6.0,206,8871888.88,18.77,207779.56,85.59,60,-50.387,-106.82
2020-08-21,Spain,Flood,9.38,111,5441475.91,2.12,70554.2,95.25,90,-11.547,150.143
2024-06-29,Nigeria,Hurricane,5.3,124,10273379.11,13.81,203878.5,81.7,55,11.342,40.59
2024-05-04,Canada,Storm Surge,2.36,90,3750997.87,18.0,37132.71,88.77,23,2.734,147.8
2020-09-04,Indonesia,Drought,7.48,30,5235278.89,6.45,380805.82,91.3,77,-28.126,-125.501
2021-07-19,Australia,Volcanic Eruption,2.86,53,3037068.15,19.33,184010.06,75.05,20,51.482,148.15
2024-12-19,United States,Volcanic Eruption,7.56,176,4727813.4,14.11,395246.94,91.79,75,59.815,168.673
2020-05-23,India,Extreme Heat,9.12,342,7986033.13,10.12,573810.67,96.72,86,0.706,-124.965
2020-09-27,Germany,Flood,6.37,194,768668.41,1.62,58721.2,97.04,67,-15.657,-116.366
2024-11-10,Greece,Tornado,8.0,166,14523015.02,1.0,127533.92,98.72,81,58.062,104.414
2024-03-21,Chile,Earthquake,4.93,3,4714724.16,3.2,312821.99,98.63,44,-24.075,55.552
2019-04-18,Turkey,Tornado,3.97,37,3847777.14,16.86,120301.98,85.66,37,46.766,82.422
2021-02-28,Turkey,Tornado,3.41,64,1646964.04,11.29,88915.52,98.53,34,12.58,73.988
2023-09-02,Indonesia,Tornado,3.6,79,3398327.66,12.23,224254.19,91.56,33,-1.376,137.814
2022-10-01,Japan,Flood,3.85,66,580951.2,4.9,297622.76,100.0,37,39.522,-155.011
2020-12-08,France,Wildfire,6.15,142,15625466.12,13.4,291913.87,81.82,53,-40.61,-19.776
2018-02-09,Canada,Extreme Heat,5.41,67,1561916.09,5.64,153389.34,100.0,58,-46.575,151.317
2018-05-28,Turkey,Extreme Heat,4.98,173,5176858.66,5.32,401029.41,97.37,44,40.151,28.053
2019-06-07,Turkey,Landslide,4.62,51,1425523.59,15.02,407370.36,77.99,49,-54.981,-46.018
2020-05-10,Japan,Drought,3.7,55,2603166.76,8.66,188525.1,87.19,38,21.848,56.757
2022-07-23,Germany,Extreme Heat,4.9,86,2676208.91,6.91,318997.33,95.59,44,56.86,84.822
2019-12-27,Mexico,Wildfire,5.2,143,859325.53,11.95,191038.06,90.9,48,45.77,-161.573
2020-10-13,France,Landslide,1.39,5,1423660.51,35.83,44367.52,67.37,5,-27.983,97.707
2018-06-08,Brazil,Landslide,4.87,38,3281323.33,10.1,159624.92,87.98,53,43.031,-94.373
2021-06-04,Philippines,Drought,3.85,109,1673667.82,15.13,303202.51,72.51,34,38.464,126.25
2020-03-02,Mexico,Earthquake,6.15,110,7296186.88,4.78,318364.93,94.44,67,-12.184,-75.275
2021-12-09,India,Tornado,5.51,128,4374359.19,6.28,227784.19,95.7,52,16.978,-34.109
2018-04-24,Greece,Drought,5.58,227,8009791.51,6.97,413022.14,90.99,45,-46.159,159.936
2020-12-23,China,Storm Surge,2.98,3,2459399.6,16.18,249235.36,85.46,28,-55.409,32.834
2022-11-23,Germany,Drought,6.66,14,7443267.59,11.06,136028.03,94.66,68,12.745,3.884
2020-02-18,South Africa,Storm Surge,4.17,109,8903165.02,12.42,229169.95,85.28,37,-29.433,70.987
2024-01-15,United States,Extreme Heat,6.66,76,6899011.24,4.82,396840.13,96.85,71,22.423,149.689
2022-11-02,Indonesia,Drought,3.98,68,2032243.46,9.84,229031.23,93.95,35,-51.603,55.841
2021-07-09,France,Storm Surge,6.74,226,8132324.54,16.51,232666.01,77.27,58,19.606,-127.627
2021-06-20,Australia,Extreme Heat,7.99,212,7769969.81,7.41,219704.27,100.0,80,20.027,-59.098
2019-06-06,Australia,Extreme Heat,5.22,142,6473932.57,10.32,178433.08,92.04,61,-36.979,56.076
2024-11-26,South Africa,Wildfire,7.69,276,5725001.08,1.29,365193.86,98.99,82,8.293,-31.934
2021-03-21,United States,Tornado,1.62,57,1487473.77,27.59,48061.13,64.14,20,-34.778,97.158
2023-03-20,Spain,Drought,5.15,36,1813986.46,7.65,429128.72,91.05,43,-6.986,59.713
2019-11-27,Chile,Volcanic Eruption,4.51,77,1570961.55,10.38,204602.26,93.11,54,19.062,-73.513
2019-01-18,Spain,Drought,7.25,125,3240241.89,19.48,371246.88,80.59,72,38.211,85.387
2020-03-26,Australia,Hurricane,5.4,100,3848380.8,6.16,266273.63,91.12,50,-42.318,-154.287
2018-10-26,Bangladesh,Storm Surge,5.21,90,9132913.24,1.0,374440.48,100.0,41,-5.35,131.287
2022-04-22,Nigeria,Hurricane,4.31,70,1278182.37,7.24,119896.88,100.0,47,-0.675,-87.045
2022-10-08,United States,Flood,7.54,205,3284829.23,3.74,450983.63,90.15,78,-33.739,103.397
2018-07-25,Chile,Volcanic Eruption,4.52,73,6125887.39,12.84,193340.82,92.95,39,6.889,141.94
2019-07-01,Brazil,Volcanic Eruption,6.23,161,5267344.44,9.33,155657.99,95.29,61,36.17,56.976
2021-07-23,Greece,Storm Surge,3.95,120,2561871.39,5.1,74612.22,97.93,33,54.005,133.085
2022-10-14,Spain,Extreme Heat,8.51,6,15727661.05,6.7,409019.64,90.58,87,39.668,16.276
2023-01-18,China,Volcanic Eruption,4.92,152,5206000.79,10.5,210422.69,89.22,50,-28.897,-85.938
2023-06-08,Italy,Extreme Heat,1.58,10,2166716.69,31.24,73170.53,68.85,17,15.21,-76.637
2020-08-18,India,Tornado,3.92,47,4304384.4,7.35,228034.97,84.14,44,-27.394,-61.299
2019-07-21,Greece,Flood,5.95,134,8866339.71,16.4,417872.3,74.39,53,-41.9,-39.768
2018-09-21,Turkey,Hurricane,3.75,75,4721067.42,9.17,201527.0,87.05,34,-10.216,-57.5
2018-09-13,Philippines,Landslide,2.19,23,708828.44,17.07,155413.39,78.18,35,-35.18,-27.151
2024-06-16,Nigeria,Earthquake,5.99,130,3417298.09,11.52,230409.11,89.09,72,-14.354,-167.995
2022-05-17,Germany,Tornado,4.81,151,3117486.19,9.81,410669.96,87.06,57,42.414,154.166
2024-02-15,Canada,Extreme Heat,6.42,92,8444111.02,12.34,400559.68,79.8,60,35.984,135.256
2021-01-22,Bangladesh,Hurricane,4.5,86,5903015.06,11.54,104934.61,90.36,48,-7.7,-160.132
2019-11-08,France,Landslide,6.12,188,8671207.94,10.14,297391.35,81.56,63,40.861,142.644
2018-04-21,Spain,Extreme Heat,5.42,123,1958338.98,3.46,384833.13,96.34,57,48.831,31.244
2022-10-22,United States,Flood,5.06,102,7428916.94,6.91,262552.79,90.78,48,-43.716,-13.023
2022-04-02,Japan,Tornado,4.38,97,3332799.93,17.23,140685.56,81.83,41,-20.718,-15.402
2021-02-13,France,Landslide,7.89,173,11966623.35,1.0,436859.45,100.0,79,30.241,112.854
2023-04-11,Italy,Flood,7.13,105,12155961.39,18.23,304800.29,79.55,78,-57.674,13.402
2018-10-09,Germany,Hurricane,8.16,120,6444961.86,4.47,188565.9,90.93,76,33.748,51.597
2020-03-27,United States,Hurricane,3.46,68,3870112.2,21.61,104046.19,83.31,33,40.707,41.254
2023-04-24,Mexico,Wildfire,4.9,131,2149801.52,11.71,261369.52,90.76,50,20.335,21.75
2020-11-15,Indonesia,Volcanic Eruption,9.91,135,7279350.99,1.73,385427.78,95.09,105,32.028,-112.952
2019-11-02,Spain,Flood,7.84,112,4577754.94,8.48,305450.71,94.69,79,55.766,-133.246
2024-06-16,United States,Tornado,1.97,69,3736114.94,21.32,83161.69,80.11,21,21.282,155.779
2018-11-08,South Africa,Hurricane,6.32,253,5758192.89,3.61,141588.79,92.74,63,11.052,112.394
2021-05-20,Mexico,Flood,8.59,127,9550186.03,5.51,633600.73,100.0,83,42.035,34.14
2018-06-18,Brazil,Storm Surge,4.02,122,5392105.25,21.17,248016.97,77.03,43,-18.336,-24.351
2023-09-04,Germany,Flood,7.22,203,9048008.77,11.98,529656.01,94.93,75,17.705,-165.698
2019-03-09,Canada,Volcanic Eruption,4.67,100,7480406.79,6.2,267691.04,91.83,46,-7.977,-46.856
2022-11-19,Philippines,Wildfire,7.56,165,7732361.99,1.0,490632.51,100.0,86,-38.864,7.394
2024-01-14,Italy,Storm Surge,4.38,97,4931147.87,18.84,210865.82,82.56,46,32.957,-11.943
2021-08-13,Nigeria,Tornado,5.37,83,5894662.19,14.3,158347.1,86.36,50,42.206,112.449
2023-01-21,India,Tornado,7.39,35,5324850.97,8.38,600892.03,91.29,71,-30.736,-11.999
2021-10-09,Spain,Landslide,8.76,48,871000.12,7.68,350132.57,87.22,91,-56.556,119.324
2020-05-18,China,Volcanic Eruption,5.49,78,1974701.3,13.11,345740.97,86.39,64,-17.421,-82.16
2021-02-05,Italy,Storm Surge,2.86,13,1870460.58,16.56,156909.71,82.24,30,6.695,5.653
2020-09-15,Indonesia,Flood,2.5,85,2394358.64,24.81,141961.22,77.47,27,26.409,-3.884
2023-07-04,Mexico,Volcanic Eruption,5.9,155,9813371.41,9.12,378368.31,90.43,66,-6.219,-164.137
2022-07-15,Australia,Hurricane,3.65,138,3573983.05,6.01,191705.26,90.59,40,23.014,-65.89
2023-04-23,Nigeria,Drought,3.69,57,204059.8,10.73,5624.94,81.35,40,6.417,-53.122
2021-12-12,Greece,Drought,6.57,159,3394309.95,7.07,328106.53,87.14,73,24.343,-77.888
2019-05-10,Italy,Hurricane,6.75,120,6845527.8,8.15,61909.09,90.62,64,26.554,-62.714
2020-02-24,Greece,Wildfire,3.0,51,5690377.5,19.22,115604.27,83.64,36,-34.034,-5.372
2024-09-10,Nigeria,Extreme Heat,6.85,141,4633745.89,10.5,396365.1,93.98,71,-26.04,-135.821
2020-07-20,Indonesia,Tornado,7.1,103,11775265.11,7.75,649605.19,88.8,79,-16.694,-67.229
2021-01-28,Greece,Wildfire,5.4,72,4090340.76,7.29,315565.55,95.32,51,-54.538,-151.461
2023-07-04,Australia,Wildfire,4.95,205,9228075.13,11.88,251327.87,88.72,52,-47.689,-165.83
2023-05-15,Australia,Volcanic Eruption,2.95,51,489570.07,18.24,185962.45,79.34,37,-7.144,-107.316
2023-05-11,Japan,Tornado,2.55,13,2834472.89,24.07,213252.17,73.64,30,-46.31,-147.783
2024-06-21,Bangladesh,Flood,4.92,89,7098104.51,13.01,90938.12,94.37,56,15.533,-151.773
2021-05-29,Turkey,Storm Surge,3.75,89,4674903.2,14.11,146183.23,82.53,37,-49.778,-85.615
2024-10-19,Greece,Landslide,7.35,186,5984292.03,10.39,51204.1,95.35,64,11.535,40.262
2023-01-20,Chile,Landslide,4.28,37,1507660.0,17.03,173766.35,84.7,42,49.021,-68.9
2021-06-04,Nigeria,Landslide,5.95,123,2134561.42,13.04,238906.74,79.17,57,8.236,-149.522
2020-05-14,Brazil,Hurricane,8.0,228,6606646.14,4.25,348604.6,100.0,81,-28.242,-142.396
2024-03-10,Mexico,Wildfire,5.86,177,6559745.48,6.9,269991.64,92.75,58,-50.992,-169.09
2023-04-09,Philippines,Storm Surge,6.46,132,8819949.85,7.03,332915.16,82.98,69,-25.049,-91.298
2018-10-19,Australia,Volcanic Eruption,5.69,170,2551180.61,18.87,268755.24,86.67,51,22.486,144.13
2022-10-08,Nigeria,Hurricane,6.23,58,4283896.07,17.28,287535.34,83.81,66,-46.227,-93.565
2019-08-06,Turkey,Tornado,5.99,128,7084670.84,20.03,292663.89,80.98,65,-51.431,-113.586
2024-05-20,Australia,Storm Surge,7.21,229,9514010.25,1.0,596127.78,93.27,73,50.543,-20.688
2022-07-07,Philippines,Tornado,3.49,67,4065376.78,15.35,204034.7,92.71,37,53.121,0.161
2018-11-26,Bangladesh,Volcanic Eruption,4.51,133,7194945.84,4.5,279489.98,99.0,43,11.764,132.404
2020-10-22,France,Storm Surge,7.75,143,8238111.14,5.33,389985.87,89.19,70,-56.896,-92.166
2018-03-26,Nigeria,Storm Surge,8.19,94,4129749.13,1.0,304801.22,92.38,90,59.949,58.576
2018-06-14,Italy,Storm Surge,7.02,92,14925271.86,11.75,305377.76,75.76,81,31.573,-110.435
2021-02-13,Chile,Volcanic Eruption,2.22,7,3356345.43,33.81,172528.14,69.01,25,-38.221,29.012
2023-04-10,Bangladesh,Flood,6.71,185,7649782.81,7.68,326945.53,88.55,65,-18.245,-56.675
2021-09-12,Brazil,Wildfire,1.61,30,816250.66,24.22,86511.61,82.74,20,-10.603,-1.541
2018-05-31,South Africa,Extreme Heat,1.86,18,2733445.04,20.91,84598.08,81.84,13,-5.421,-63.064
2022-07-14,France,Flood,5.21,34,3643962.48,10.81,94523.68,91.39,52,43.789,110.475
2023-03-08,United States,Extreme Heat,6.1,135,10269004.87,8.49,252818.75,92.12,63,-10.41,-106.222
2023-08-04,Germany,Storm Surge,5.1,104,3308441.56,6.1,111884.22,100.0,44,15.049,88.397
2024-02-28,Indonesia,Tornado,3.61,46,5231402.79,11.81,270901.01,84.83,37,-44.278,-72.07
2018-04-29,Bangladesh,Flood,3.33,138,1352366.69,15.97,208666.04,86.1,32,56.778,37.016
2021-06-26,Mexico,Wildfire,4.74,96,4391937.5,14.95,446591.36,82.27,40,6.101,17.765
2019-04-10,India,Hurricane,4.82,220,2885199.52,18.15,403017.44,79.09,51,-4.626,-130.062
2021-04-10,Turkey,Volcanic Eruption,8.26,133,7416332.78,2.9,245266.93,93.85,76,1.065,-77.036
2020-09-25,Bangladesh,Volcanic Eruption,5.07,62,5660599.95,1.69,286947.47,100.0,40,-5.186,-120.822
2023-09-13,Indonesia,Storm Surge,5.75,185,2271536.42,16.71,335577.03,79.76,57,29.555,-123.587
2022-08-27,India,Tornado,6.12,126,7764345.78,3.24,326551.12,89.69,60,-19.215,97.824
2021-03-04,Italy,Earthquake,3.19,40,5165103.59,20.49,198498.86,74.05,30,27.126,114.742
2019-09-01,Nigeria,Volcanic Eruption,7.43,159,16038092.58,8.43,399833.66,90.02,74,-6.414,-5.324
2024-02-04,France,Extreme Heat,4.7,127,6940947.87,6.29,109748.64,84.53,49,-14.735,147.17
2024-05-31,Indonesia,Hurricane,2.79,4,3335968.64,29.65,139324.19,74.54,28,-14.043,121.044
2021-07-27,Canada,Earthquake,4.8,140,4105239.48,11.33,271008.31,85.33,52,29.365,69.777
2019-09-16,South Africa,Landslide,4.65,57,5897487.46,5.83,235124.92,94.12,51,-0.561,-157.413
2021-09-21,Chile,Storm Surge,5.95,117,8382004.43,15.02,363842.52,85.03,52,44.364,127.225
2023-11-25,Philippines,Flood,2.87,48,1995191.94,15.79,146740.08,86.86,28,49.253,-164.782
2019-09-25,Turkey,Landslide,5.97,123,73269.14,3.34,281437.46,90.61,62,-51.021,95.719
2024-12-27,Italy,Drought,8.06,259,7201166.64,13.41,427044.74,84.91,77,23.125,50.944
2022-04-06,France,Extreme Heat,4.4,70,4769555.44,11.72,220020.78,90.46,49,54.497,43.112
2018-05-28,Bangladesh,Extreme Heat,6.9,35,1910780.94,11.63,156350.53,87.25,63,14.095,-90.178
2019-01-06,Australia,Hurricane,1.4,35,1925944.28,31.5,2541.97,65.77,15,-7.923,-136.529
2019-11-13,Brazil,Volcanic Eruption,2.04,44,2026544.15,26.4,106992.93,68.73,26,23.28,137.164
2018-08-18,Japan,Drought,4.68,92,2497721.53,8.03,151277.47,91.1,55,-24.796,-42.554
2023-12-16,Turkey,Hurricane,2.26,8,3915823.28,20.23,82618.68,84.97,19,-10.554,61.812
2019-12-19,China,Wildfire,8.65,231,6541309.94,16.33,327787.83,87.38,88,-50.524,126.085
2023-08-01,Spain,Hurricane,7.6,270,7725154.07,2.55,450121.93,94.07,86,49.539,-121.34
2023-02-26,Philippines,Tornado,5.27,86,5759986.81,2.37,161185.74,100.0,49,-29.361,-166.805
2024-02-17,Philippines,Tornado,2.91,73,4629111.72,20.11,203202.74,76.1,21,-41.043,-19.812
2021-05-10,Germany,Storm Surge,8.0,134,6999000.71,12.64,489159.84,89.64,90,16.673,-25.735
2021-05-22,Italy,Volcanic Eruption,3.71,108,3818807.37,14.27,299151.13,88.27,39,-36.094,-39.204
2020-08-29,Bangladesh,Flood,7.15,116,4146931.98,1.49,76257.8,100.0,65,-14.236,-47.954
2018-03-31,Australia,Tornado,4.56,78,5257994.65,14.61,306306.67,82.47,44,57.353,53.798
2024-05-07,Italy,Earthquake,5.57,97,10037727.47,11.08,360052.24,92.23,61,43.808,94.626
2023-07-28,Japan,Storm Surge,5.36,37,6433615.13,5.7,211412.85,97.24,59,39.941,136.998
2021-12-14,Mexico,Storm Surge,5.04,116,9334289.31,10.72,514509.15,92.1,41,-33.719,-105.355
2019-02-02,Italy,Wildfire,6.51,154,10702689.56,10.74,307316.38,83.14,64,48.408,49.756
2018-05-17,Australia,Volcanic Eruption,3.3,46,4269807.13,22.9,190988.06,71.12,35,9.549,79.002
2021-08-31,India,Tornado,7.39,102,6897850.9,6.57,253603.96,96.68,73,29.698,-110.282
2022-02-07,Turkey,Extreme Heat,5.84,64,4561891.19,11.83,248413.31,96.8,56,3.702,140.586
2023-05-28,China,Tornado,5.45,159,1584770.0,1.0,106191.17,100.0,51,56.086,-69.652
2023-04-03,France,Flood,10.0,143,10922756.52,12.51,901218.58,97.8,106,55.547,-122.143
2024-04-01,Mexico,Landslide,7.05,182,9791118.15,4.05,237070.89,95.93,69,-16.107,98.832
2024-01-07,United States,Tornado,4.09,110,6048835.81,12.17,325643.88,82.12,39,-45.169,-44.681
2022-04-10,Italy,Storm Surge,3.57,4,3418921.01,12.85,286267.76,90.3,30,38.69,149.699
2023-04-16,Brazil,Hurricane,8.71,280,11242692.42,4.38,268309.77,93.76,92,-56.997,130.64
2024-11-03,Greece,Drought,8.77,310,6625770.13,1.0,463167.75,90.16,89,-33.436,-148.506
2022-07-31,Philippines,Tornado,4.7,72,953419.46,12.77,185114.78,81.38,32,-45.999,-154.582
2023-07-11,Japan,Tornado,4.94,186,9052408.84,7.42,187690.1,94.92,44,-46.066,-90.168
2022-05-11,Greece,Wildfire,5.6,154,9041195.37,8.07,257353.13,87.54,51,-5.563,57.965
2024-08-02,Greece,Landslide,4.55,107,6624096.15,6.54,363098.47,92.1,45,29.072,-117.462
2023-06-28,Canada,Flood,3.51,14,5055121.09,17.38,155554.53,82.96,37,13.878,149.278
2022-02-26,Italy,Earthquake,1.87,27,2619495.0,19.33,104753.3,73.89,21,-33.928,-18.803
2019-02-11,Mexico,Drought,4.93,18,7799052.38,6.07,166565.75,94.94,55,57.711,-45.106
2022-06-19,Germany,Earthquake,2.97,61,3604796.46,19.64,158892.65,78.53,25,-26.894,159.19
2020-05-18,Philippines,Flood,5.17,47,2382744.92,11.46,352122.61,76.72,46,17.005,33.03
2021-09-28,United States,Earthquake,6.24,253,6303167.3,4.05,289096.14,100.0,59,-30.772,-127.186
2018-10-09,Nigeria,Hurricane,3.4,51,1780187.07,14.72,280611.44,86.89,32,39.578,18.431
2020-08-12,Nigeria,Hurricane,4.42,19,6366450.52,10.48,204877.52,100.0,45,-20.573,-119.832
2021-02-09,Spain,Earthquake,3.5,55,5504140.97,14.29,74244.48,90.3,31,43.009,-120.806
2020-10-23,Turkey,Extreme Heat,8.75,269,6790323.7,11.89,449199.87,92.37,89,35.822,-132.625
2018-03-02,United States,Wildfire,3.31,44,5010474.54,12.84,138664.71,82.38,35,-17.011,98.067
2018-03-06,Nigeria,Drought,9.13,85,9235551.71,12.32,441717.86,89.94,85,-39.09,-152.184
2019-04-11,Canada,Extreme Heat,5.86,106,8743134.34,14.13,596152.21,88.77,60,29.48,-8.076
2024-08-28,Germany,Extreme Heat,5.39,88,6300774.16,7.43,287594.37,99.16,48,-46.914,1.305
2023-11-06,Spain,Earthquake,7.28,241,6850002.02,1.0,275491.93,100.0,72,-23.804,48.736
2023-05-16,United States,Earthquake,3.0,44,4262912.13,18.73,135727.18,79.44,28,41.676,-25.067
2022-12-22,Brazil,Volcanic Eruption,3.16,114,2646690.14,21.3,253759.49,83.69,29,-51.181,-142.531
2018-09-27,Spain,Wildfire,5.81,114,3183353.89,9.89,153428.48,96.05,55,-44.857,42.268
2021-08-24,Nigeria,Extreme Heat,5.4,123,4702975.64,11.82,218804.34,92.54,47,-14.291,33.113
2023-09-02,Australia,Volcanic Eruption,5.25,206,2625509.4,5.75,316626.64,95.15,54,12.651,-136.279
2020-05-30,Brazil,Extreme Heat,5.98,157,9295474.75,10.08,270072.14,93.28,69,-8.392,131.951
2023-02-01,Canada,Drought,4.73,48,7355597.92,9.54,30996.44,94.7,44,-12.152,78.068
2021-07-04,France,Landslide,4.82,112,5277936.07,13.51,198975.08,89.06,46,19.813,-42.738
2018-10-02,Turkey,Volcanic Eruption,6.48,169,3447912.29,12.84,254445.69,91.2,66,-49.053,-140.976
2022-03-07,Canada,Flood,8.68,154,7160966.93,5.44,381208.38,98.56,78,37.412,19.166
2024-04-19,Nigeria,Extreme Heat,2.89,26,4267081.74,25.15,138589.09,74.01,29,-20.442,-128.441
2018-07-30,Germany,Landslide,7.32,78,8196634.81,11.43,439585.66,89.52,78,56.208,34.139
2024-06-25,Germany,Flood,1.0,26,672962.16,38.85,60224.05,68.02,9,0.89,-117.392
2019-03-20,Bangladesh,Hurricane,6.91,249,11445983.74,15.15,447786.38,85.23,61,-17.986,19.13
2024-06-09,Brazil,Tornado,4.51,52,9401044.25,9.77,236501.59,92.99,45,-32.861,-24.102
2024-11-18,Greece,Storm Surge,8.39,115,9206490.29,2.01,198002.63,94.93,83,20.997,19.292
2018-04-29,Spain,Tornado,4.14,54,1229337.11,11.17,82436.93,92.63,41,-38.35,68.918
2021-12-08,Australia,Drought,2.08,35,1300812.68,24.62,160138.87,66.01,21,-59.267,125.753
2018-10-13,Nigeria,Landslide,4.68,125,5178586.21,6.5,204124.97,89.52,52,-42.975,45.278
2023-12-13,United States,Flood,5.04,196,4889678.48,5.98,99469.34,85.01,42,-34.184,-27.257
2022-02-24,France,Wildfire,5.53,138,1158898.37,13.15,223245.02,87.59,63,-22.604,-59.71
