Happiness Rank,Country,Region,Happiness Score,Economy,Social support,Health,Freedom,Generosity,Trust
102,Guinea,Sub-Saharan Africa,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448
103,Niger,Sub-Saharan Africa,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186
105,Albania,Central and Eastern Europe,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713
106,Cambodia,Southeastern Asia,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046
107,Bangladesh,Southern Asia,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538
108,Gabon,Sub-Saharan Africa,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956
109,South Africa,Sub-Saharan Africa,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843
110,Iraq,Middle East and Northern Africa,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181
111,Lebanon,Middle East and Northern Africa,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625
112,Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029
114,Mali,Sub-Saharan Africa,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408
115,Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342
116,Armenia,Central and Eastern Europe,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788
117,Georgia,Central and Eastern Europe,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695
118,Iran,Middle East and Northern Africa,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968
119,Jordan,Middle East and Northern Africa,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324
121,Kenya,Sub-Saharan Africa,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159
123,Ukraine,Central and Eastern Europe,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714
124,Liberia,Sub-Saharan Africa,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933
125,Palestinian Territories,Middle East and Northern Africa,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975
126,Uganda,Sub-Saharan Africa,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812
127,Chad,Sub-Saharan Africa,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839
128,Tunisia,Middle East and Northern Africa,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249
129,Mauritania,Sub-Saharan Africa,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509
130,Sri Lanka,Southern Asia,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756
131,Congo (Kinshasa),Sub-Saharan Africa,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598
133,Myanmar,Southeastern Asia,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316
135,Togo,Sub-Saharan Africa,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464
136,Ethiopia,Sub-Saharan Africa,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004
137,Madagascar,Sub-Saharan Africa,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631
138,Egypt,Middle East and Northern Africa,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879
139,Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688
140,Burundi,Sub-Saharan Africa,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547
141,Zambia,Sub-Saharan Africa,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678
142,Haiti,Latin America and Caribbean,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246
144,India,Southern Asia,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692
145,Malawi,Sub-Saharan Africa,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778
146,Yemen,Middle East and Northern Africa,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724
147,Botswana,Sub-Saharan Africa,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915
148,Tanzania,Sub-Saharan Africa,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435
150,Rwanda,Sub-Saharan Africa,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179
151,Zimbabwe,Sub-Saharan Africa,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699
153,Afghanistan,Southern Asia,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554
